name,submissions,placements,time_to_first_submission,requirements_submitted_to,submissions_to_interview_number,interview_to_offer_number
Recruiter_1,54,15,5.95,96,2.99,2.89
Recruiter_2,47,8,9.18,16,0.6,1.96
Recruiter_3,55,8,5.37,22,1.79,2.52
Recruiter_4,49,9,12.54,53,2.75,3.85
Recruiter_5,48,14,14.8,55,1.07,2.92
Recruiter_6,59,10,30.25,17,0.7,4.57
Recruiter_7,44,7,0.5,94,1.64,4.38
Recruiter_8,65,7,2.45,24,1.49,5.0
Recruiter_9,52,10,5.75,77,1.5,1.9
Recruiter_10,45,8,0.56,31,2.32,3.35
Recruiter_11,45,12,8.35,63,1.19,1.45
Recruiter_12,49,14,14.5,64,0.87,4.75
Recruiter_13,57,12,7.54,81,1.56,3.92
Recruiter_14,51,12,2.56,24,1.53,2.27
Recruiter_15,53,13,1.58,36,2.6,2.59
Recruiter_16,51,10,0.88,56,0.55,3.82
Recruiter_17,48,7,5.39,60,1.26,3.53
Recruiter_18,49,6,12.34,79,1.17,2.37
Recruiter_19,44,19,2.54,23,1.89,3.57
Recruiter_20,43,9,1.26,99,2.8,4.53
Recruiter_21,46,8,3.72,23,2.14,3.98
Recruiter_22,52,11,3.83,44,2.93,4.92
Recruiter_23,51,7,0.19,97,2.45,2.44
Recruiter_24,49,14,6.64,95,2.76,3.29
Recruiter_25,42,10,3.72,47,2.24,1.71
Recruiter_26,51,3,16.86,37,2.65,1.11
Recruiter_27,41,9,9.6,38,1.16,4.36
Recruiter_28,59,11,2.85,36,1.21,1.15
Recruiter_29,67,11,20.13,36,1.69,1.87
Recruiter_30,58,6,10.18,84,0.94,4.35
Recruiter_31,55,11,8.13,99,1.53,4.37
Recruiter_32,38,9,20.47,10,1.06,1.78
Recruiter_33,64,8,13.37,58,0.52,4.48
Recruiter_34,55,11,0.55,94,1.17,4.02
Recruiter_35,46,4,5.29,83,0.79,2.31
Recruiter_36,60,10,5.85,88,1.65,4.11
Recruiter_37,57,8,1.8,77,1.74,2.93
Recruiter_38,52,10,3.58,10,1.97,2.06
Recruiter_39,56,17,6.26,42,2.71,2.17
Recruiter_40,42,8,16.71,86,1.81,2.36
Recruiter_41,46,9,2.3,86,1.4,4.16
Recruiter_42,51,10,3.12,93,1.52,3.14
Recruiter_43,48,10,0.95,46,2.06,2.75
Recruiter_44,45,6,3.47,63,2.16,4.52
Recruiter_45,42,11,0.53,84,0.83,1.16
Recruiter_46,47,9,0.04,91,2.6,1.2
Recruiter_47,45,14,1.91,88,0.7,3.05
Recruiter_48,47,11,8.57,67,1.18,2.83
Recruiter_49,51,9,1.02,98,1.42,2.96
Recruiter_50,63,10,0.38,72,1.54,2.78
Recruiter_51,56,6,1.74,75,2.61,1.4
Recruiter_52,44,8,7.34,68,2.33,1.6
Recruiter_53,60,12,5.62,65,1.46,1.76
Recruiter_54,55,11,2.58,58,2.37,2.26
Recruiter_55,59,9,1.88,82,2.83,4.34
Recruiter_56,57,6,2.87,25,2.04,3.53
Recruiter_57,46,14,28.11,85,1.03,2.8
Recruiter_58,61,15,9.53,94,1.59,3.44
Recruiter_59,51,10,2.68,92,2.24,4.34
Recruiter_60,60,8,19.69,60,1.01,4.64
Recruiter_61,48,9,7.59,69,1.74,2.12
Recruiter_62,50,17,11.31,70,0.94,2.37
Recruiter_63,51,7,6.08,69,0.79,4.26
Recruiter_64,39,11,2.88,34,2.23,2.61
Recruiter_65,50,11,0.92,87,2.6,1.57
Recruiter_66,59,7,4.5,84,2.88,1.78
Recruiter_67,53,9,0.75,62,2.85,2.77
Recruiter_68,53,9,2.88,44,2.21,3.08
Recruiter_69,45,8,1.83,44,1.17,2.95
Recruiter_70,47,12,6.41,64,1.93,2.5
Recruiter_71,57,10,1.1,47,1.74,1.11
Recruiter_72,45,9,3.92,38,2.97,4.09
Recruiter_73,38,13,3.61,32,2.23,3.74
Recruiter_74,59,12,6.9,47,2.06,4.37
Recruiter_75,62,11,3.06,95,0.88,4.0
Recruiter_76,54,11,2.35,71,1.03,3.7
Recruiter_77,46,13,10.4,12,2.01,3.41
Recruiter_78,67,11,2.98,97,1.61,4.1
Recruiter_79,49,10,0.46,70,2.1,1.44
Recruiter_80,54,19,4.8,54,1.71,3.62
Recruiter_81,35,6,5.61,94,2.19,3.17
Recruiter_82,57,12,4.25,73,0.51,4.92
Recruiter_83,48,12,16.77,85,1.89,2.68
Recruiter_84,55,9,0.39,33,1.58,3.33
Recruiter_85,44,7,0.32,94,2.05,2.8
Recruiter_86,48,7,4.92,15,0.94,3.63
Recruiter_87,56,12,0.05,37,1.05,4.59
Recruiter_88,49,10,1.85,57,1.05,1.85
Recruiter_89,56,11,4.13,31,1.34,4.26
Recruiter_90,38,18,6.18,51,1.58,2.4
Recruiter_91,47,12,2.76,86,0.59,3.83
Recruiter_92,50,6,7.47,38,1.48,2.73
Recruiter_93,51,13,3.81,92,0.92,4.98
Recruiter_94,50,12,3.74,86,0.98,3.94
Recruiter_95,54,5,1.57,20,1.51,4.2
Recruiter_96,40,6,3.14,13,2.95,1.66
Recruiter_97,44,11,5.06,81,1.29,4.27
Recruiter_98,44,8,1.6,19,1.72,4.02
Recruiter_99,55,11,3.36,94,2.89,3.68
Recruiter_100,58,12,15.53,87,0.75,4.6
Recruiter_101,52,5,1.45,48,2.52,3.14
Recruiter_102,59,7,18.61,72,2.85,4.05
Recruiter_103,62,6,3.63,85,1.18,2.17
Recruiter_104,47,11,19.24,73,2.01,4.89
Recruiter_105,45,9,1.21,79,2.28,3.48
Recruiter_106,33,7,2.55,44,0.62,2.58
Recruiter_107,49,18,1.69,73,1.77,2.9
Recruiter_108,50,12,1.81,61,0.91,1.3
Recruiter_109,55,13,2.58,62,2.46,2.0
Recruiter_110,57,15,0.93,29,1.13,2.49
Recruiter_111,48,13,2.09,16,2.4,4.4
Recruiter_112,43,12,1.07,16,0.92,4.98
Recruiter_113,40,7,4.05,36,1.18,1.23
Recruiter_114,41,10,8.87,91,1.87,4.04
Recruiter_115,46,9,16.21,63,2.88,4.62
Recruiter_116,48,17,0.99,64,1.36,4.11
Recruiter_117,60,9,4.31,90,0.73,3.8
Recruiter_118,58,10,5.47,15,1.95,1.56
Recruiter_119,55,11,5.52,24,2.9,3.05
Recruiter_120,40,10,11.55,60,1.58,3.42
Recruiter_121,54,11,4.98,26,0.77,1.37
Recruiter_122,52,13,9.99,68,2.25,4.79
Recruiter_123,67,17,0.0,74,1.83,3.21
Recruiter_124,51,14,9.93,91,2.12,4.77
Recruiter_125,53,5,15.09,42,2.86,4.56
Recruiter_126,52,11,5.71,40,2.99,3.16
Recruiter_127,49,16,5.25,81,0.87,3.53
Recruiter_128,52,6,3.73,10,2.61,2.86
Recruiter_129,47,10,6.17,87,2.54,4.98
Recruiter_130,57,6,5.23,73,2.91,1.05
Recruiter_131,50,6,2.91,79,1.37,4.55
Recruiter_132,53,6,1.44,85,0.55,3.67
Recruiter_133,50,9,5.31,26,1.44,2.72
